kernel,M,N,K,latency_us,tflops,cublas_ratio
naive,128,128,128,36.4851189,0.114959308,0.123719477
coalesced,128,128,128,10.2499199,0.409203588,0.440385864
shared32,128,128,128,16.7731209,0.250061037,0.269116276
shared16,128,128,128,11.2636805,0.3723742,0.40074999
register,128,128,128,17.971199,0.233390326,0.251175218
reg_f32sm,128,128,128,18.5651188,0.225923898,0.24313983
cublas,128,128,128,4.51391983,0.929193286,1
naive,512,512,512,1543.15515,0.173952344,0.0120372597
coalesced,512,512,512,346.132446,0.775528151,0.0536654669
shared32,512,512,512,400.445435,0.670342156,0.0463867427
shared16,512,512,512,376.040009,0.713848128,0.0493972953
register,512,512,512,137.922562,1.94627661,0.134679628
reg_f32sm,512,512,512,141.567993,1.89615922,0.131211575
cublas,512,512,512,18.5753593,14.4511582,1
naive,1024,1024,1024,11347.9883,0.189239149,0.00985560395
coalesced,1024,1024,1024,2681.28247,0.800916603,0.0417118596
shared32,1024,1024,1024,3129.00781,0.686314569,0.0357433681
shared16,1024,1024,1024,2991.00146,0.717981477,0.0373925855
register,1024,1024,1024,869.222412,2.47058016,0.128668194
reg_f32sm,1024,1024,1024,880.220154,2.43971197,0.127060574
cublas,1024,1024,1024,111.841278,19.2011723,1
naive,257,511,1025,645.0979,0.417332547,0.0473032072
coalesced,257,511,1025,357.331848,0.75341829,0.0853973689
shared32,257,511,1025,496.032654,0.542747232,0.0615185299
shared16,257,511,1025,416.69632,0.64608286,0.0732312675
register,257,511,1025,201.502396,1.33606526,0.151438396
reg_f32sm,257,511,1025,206.376953,1.30450782,0.14786147
cublas,257,511,1025,30.5151997,8.82250003,1
