kernel,M,N,K,latency_us,tflops,cublas_ratio
naive,128,128,128,32.7475204,0.128080048,0.133511176
coalesced,128,128,128,10.2707186,0.408374932,0.42569173
shared32,128,128,128,13.0550394,0.32127854,0.334902088
shared16,128,128,128,11.2435188,0.373041933,0.388860465
register,128,128,128,22.3017597,0.18807054,0.196045514
reg_f32sm,128,128,128,18.6972809,0.22432695,0.233839347
reg_inter,128,128,128,17.725441,0.236626215,0.246660152
cublas,128,128,128,4.37215996,0.959320803,1
naive,512,512,512,1547.00818,0.173519093,0.01236389
coalesced,512,512,512,366.171509,0.733086681,0.0522351917
shared32,512,512,512,424.581085,0.632236021,0.0450492017
shared16,512,512,512,378.685455,0.708861278,0.0505090404
register,512,512,512,136.994568,1.95946058,0.139618959
reg_f32sm,512,512,512,137.943039,1.94598769,0.138658965
reg_inter,512,512,512,136.496002,1.96661772,0.140128932
cublas,512,512,512,19.127039,14.0343446,1
naive,1024,1024,1024,11304.8887,0.189960619,0.0100018743
coalesced,1024,1024,1024,2663.96655,0.806122602,0.0424442551
shared32,1024,1024,1024,3120.80542,0.688118405,0.036231056
shared16,1024,1024,1024,2983.64941,0.719750664,0.037896569
register,1024,1024,1024,853.760986,2.51532183,0.132437623
reg_f32sm,1024,1024,1024,872.724426,2.46066637,0.129559885
reg_inter,1024,1024,1024,857.180176,2.50528851,0.131909346
cublas,1024,1024,1024,113.070076,18.992502,1
naive,257,511,1025,643.638672,0.418278705,0.0468536192
coalesced,257,511,1025,363.560944,0.740509548,0.0829484073
shared32,257,511,1025,507.276489,0.530717184,0.0594484504
shared16,257,511,1025,421.949402,0.638039416,0.0714701836
register,257,511,1025,201.839355,1.33383477,0.149409916
reg_f32sm,257,511,1025,215.135681,1.25139795,0.14017573
reg_inter,257,511,1025,199.751678,1.34777516,0.150971453
cublas,257,511,1025,30.1568012,8.92735101,1
