kernel,M,N,K,latency_us,tflops,cublas_ratio
coalesced,1,4096,4096,678.365906,0.049463618,0.199054024
reg_vec,1,4096,4096,835.72052,0.0401503029,0.161574905
wmma_block,1,4096,4096,467.286407,0.0718069934,0.28896938
wmma_async,1,4096,4096,308.700806,0.108695641,0.437418566
mma_ptx,1,4096,4096,158.071472,0.2122738,0.854243095
cublas,1,4096,4096,135.031464,0.248493433,1
coalesced,2,4096,4096,663.517883,0.101141003,0.189155821
reg_vec,2,4096,4096,788.377563,0.0851227472,0.159198176
wmma_block,2,4096,4096,449.979706,0.149137535,0.278919846
wmma_async,2,4096,4096,298.086395,0.225132261,0.421046624
mma_ptx,2,4096,4096,153.429337,0.437392649,0.818020029
cublas,2,4096,4096,125.50827,0.534696748,1
coalesced,4,4096,4096,662.425598,0.202615552,0.186324532
reg_vec,4,4096,4096,745.710938,0.179986267,0.165514724
wmma_block,4,4096,4096,440.968567,0.304370284,0.279897818
wmma_async,4,4096,4096,289.860291,0.463042826,0.425812517
mma_ptx,4,4096,4096,150.190918,0.893647431,0.821794963
cublas,4,4096,4096,123.42614,1.08743357,1
coalesced,8,4096,4096,718.131165,0.373797252,0.194068182
reg_vec,8,4096,4096,748.031982,0.358855587,0.186310763
wmma_block,8,4096,4096,448.273041,0.598821324,0.310896254
wmma_async,8,4096,4096,290.986664,0.922500889,0.478944318
mma_ptx,8,4096,4096,151.176529,1.77564241,0.921878616
cublas,8,4096,4096,139.366409,1.92611302,1
coalesced,16,4096,4096,803.08905,0.668507324,0.173929748
reg_vec,16,4096,4096,754.483215,0.711574361,0.185134769
wmma_block,16,4096,4096,459.127472,1.16932866,0.30423158
wmma_async,16,4096,4096,288.768005,1.85917727,0.483713824
mma_ptx,16,4096,4096,153.190414,3.5045986,0.911813422
cublas,16,4096,4096,139.681076,3.84354794,1
coalesced,32,4096,4096,1642.46826,0.653736726,0.106066064
reg_vec,32,4096,4096,807.355713,1.32994888,0.215778673
wmma_block,32,4096,4096,473.053864,2.2698088,0.368267036
wmma_async,32,4096,4096,325.120026,3.30260131,0.535833324
mma_ptx,32,4096,4096,159.163742,6.74614589,1.09453411
cublas,32,4096,4096,174.210144,6.16348623,1
coalesced,64,4096,4096,2963.76318,0.724580041,0.0466646369
reg_vec,64,4096,4096,851.455994,2.52213111,0.162431099
wmma_block,64,4096,4096,531.353638,4.04153373,0.260284155
wmma_async,64,4096,4096,333.755768,6.43429674,0.414383648
mma_ptx,64,4096,4096,307.200012,6.99050639,0.450204841
cublas,64,4096,4096,138.302933,15.5273905,1
coalesced,128,4096,4096,5681.86865,0.75590753,0.0373049118
reg_vec,128,4096,4096,1272.21753,3.37596928,0.166607993
wmma_block,128,4096,4096,963.515747,4.45759948,0.219987696
wmma_async,128,4096,4096,501.691742,8.56096869,0.422493717
mma_ptx,128,4096,4096,617.881592,6.9511171,0.343045677
cublas,128,4096,4096,211.961609,20.2629491,1
