kernel,M,N,K,latency_us,tflops,cublas_ratio
dispatch,1,4096,4096,157.818878,0.21261355,0.881975106
dispatch,2,4096,4096,158.167038,0.424291084,0.804666284
dispatch,4,4096,4096,158.49472,0.846827753,0.811655985
dispatch,8,4096,4096,160.409607,1.67343753,0.949569108
dispatch,16,4096,4096,162.355194,3.3067677,0.958688115
dispatch,32,4096,4096,169.154572,6.34769616,1.04298442
dispatch,64,4096,4096,337.510437,6.36271775,0.423452662
dispatch,128,4096,4096,542.842834,7.9119904,0.426412904
dispatch,512,4096,4096,1861.88831,9.22712127,0.395264633
dispatch,1024,4096,4096,3798.88843,9.04468215,0.381376401
dispatch,2048,4096,4096,7366.13379,9.32911059,0.396222498
dispatch,4096,4096,4096,15124.3262,9.0872778,0.345970443
dispatch,8192,4096,4096,29442.4668,9.33610315,0.349608575
