kernel,M,N,K,latency_us,tflops,cublas_ratio
reg_vec,1,4096,4096,247.334732,0.135664052,0.129208533
wmma_block,1,4096,4096,186.796799,0.179630659,0.171083007
wmma_async,1,4096,4096,71.0665588,0.472155013,0.449687708
mma_ptx,1,4096,4096,54.3027191,0.617914398,0.588511192
dispatch,1,4096,4096,54.3027191,0.617914398,0.588511192
cublas,1,4096,4096,31.9577579,1.04996202,1
reg_vec,2,4096,4096,248.412155,0.270151289,0.0777417686
wmma_block,2,4096,4096,188.343353,0.356311294,0.102536139
wmma_async,2,4096,4096,71.3820801,0.940136011,0.270544095
mma_ptx,2,4096,4096,54.3027191,1.2358288,0.355635972
dispatch,2,4096,4096,54.3024025,1.235836,0.355638045
cublas,2,4096,4096,19.3120003,3.47498255,1
reg_vec,4,4096,4096,248.453125,0.540213483,0.080892206
wmma_block,4,4096,4096,188.597122,0.711663712,0.106565366
wmma_async,4,4096,4096,71.3145599,1.88205225,0.28182073
mma_ptx,4,4096,4096,54.4665642,2.46422241,0.368995579
dispatch,4,4096,4096,54.4460831,2.46514938,0.369134385
cublas,4,4096,4096,20.0979214,6.67818953,1
reg_vec,8,4096,4096,248.542068,1.08004032,0.0888689752
wmma_block,8,4096,4096,188.586563,1.42340712,0.11712223
wmma_async,8,4096,4096,71.4316788,3.7579329,0.309214053
mma_ptx,8,4096,4096,54.9974403,4.88087181,0.401612853
dispatch,8,4096,4096,54.9990425,4.88072962,0.401601153
cublas,8,4096,4096,22.0876789,12.1531763,1
reg_vec,16,4096,4096,256.829437,2.09037919,0.215940351
wmma_block,16,4096,4096,193.146881,2.77959918,0.287138154
wmma_async,16,4096,4096,68.5241623,7.83476797,0.8093472
mma_ptx,16,4096,4096,56.8422394,9.44492894,0.975680048
dispatch,16,4096,4096,56.8524818,9.44322736,0.975504271
cublas,16,4096,4096,55.4598389,9.6803547,1
reg_vec,32,4096,4096,242.882553,4.42082731,0.0919094432
wmma_block,32,4096,4096,182.036484,5.89849794,0.122630364
wmma_async,32,4096,4096,67.5187225,15.9028753,0.330622372
mma_ptx,32,4096,4096,55.9199982,19.2013923,0.399198873
dispatch,32,4096,4096,55.9104004,19.2046885,0.399267401
cublas,32,4096,4096,22.3232002,48.099816,1
reg_vec,64,4096,4096,252.395508,8.50840677,0.0778156549
wmma_block,64,4096,4096,197.590073,10.8683783,0.0993993345
wmma_async,64,4096,4096,69.3759995,30.9542733,0.283099658
mma_ptx,64,4096,4096,68.5545578,31.3251769,0.286491845
dispatch,64,4096,4096,69.160965,31.050516,0.283979868
cublas,64,4096,4096,19.6403217,109.340553,1
reg_vec,128,4096,4096,242.298889,17.7259058,0.132702213
wmma_block,128,4096,4096,209.981445,20.4540324,0.153125905
wmma_async,128,4096,4096,105.646072,40.6543017,0.304352051
mma_ptx,128,4096,4096,113.778244,37.7485813,0.282598831
dispatch,128,4096,4096,105.779198,40.6031374,0.303969017
cublas,128,4096,4096,32.1535988,133.576566,1
reg_vec,512,4096,4096,654.34491,26.2550666,0.160420347
wmma_block,512,4096,4096,517.69696,33.1851846,0.202763867
wmma_async,512,4096,4096,329.838043,52.0857722,0.318247819
mma_ptx,512,4096,4096,422.135345,40.6975378,0.248664886
dispatch,512,4096,4096,329.902069,52.0756636,0.318186054
cublas,512,4096,4096,104.970238,163.664192,1
reg_vec,1024,4096,4096,1405.16357,24.452483,0.143773271
wmma_block,1024,4096,4096,905.850952,37.9308961,0.223022301
wmma_async,1024,4096,4096,654.213074,52.520715,0.308806063
mma_ptx,1024,4096,4096,797.777954,43.0693004,0.253234578
dispatch,1024,4096,4096,652.871033,52.6286765,0.309440844
cublas,1024,4096,4096,202.024963,170.076696,1
reg_vec,2048,4096,4096,2738.07666,25.0977183,0.155434424
wmma_block,2048,4096,4096,1727.05017,39.7900871,0.246426755
wmma_async,2048,4096,4096,1271.74719,54.0354853,0.334650921
mma_ptx,2048,4096,4096,1526.24121,45.0253055,0.27884935
dispatch,2048,4096,4096,1270.48706,54.0890804,0.334982845
cublas,2048,4096,4096,425.59137,161.46821,1
reg_vec,4096,4096,4096,5431.12256,25.3058096,0.144987422
wmma_block,4096,4096,4096,3538.75977,38.83817,0.222519897
wmma_async,4096,4096,4096,2460.33154,55.8619646,0.320056238
mma_ptx,4096,4096,4096,2994.73804,45.8934811,0.262942684
dispatch,4096,4096,4096,2458.49097,55.9037862,0.320295852
cublas,4096,4096,4096,787.444458,174.537965,1
reg_vec,8192,4096,4096,10842.1533,25.3527043,0.144144063
wmma_block,8192,4096,4096,7029.06396,39.1059049,0.22233857
wmma_async,8192,4096,4096,4807.01416,57.1826705,0.325114921
mma_ptx,8192,4096,4096,5839.95459,47.0685007,0.267610305
dispatch,8192,4096,4096,4771.28711,57.6108502,0.327549358
cublas,8192,4096,4096,1562.83203,175.884485,1
