kernel,M,N,K,latency_us,tflops,cublas_ratio
naive,128,128,128,42.06464,0.099710921,0.108085087
coalesced,128,128,128,10.1068792,0.414994966,0.449848087
shared32,128,128,128,13.1993599,0.317765712,0.344453089
shared16,128,128,128,16.6166401,0.25241589,0.273614898
register,128,128,128,20.3775997,0.205829149,0.223115595
reg_f32sm,128,128,128,23.6646385,0.177239301,0.192124646
reg_inter,128,128,128,18.5344009,0.226298331,0.24530387
reg_vec,128,128,128,14.2217598,0.294921589,0.319690415
reg_vec4,128,128,128,13.7743998,0.304499947,0.330073206
wmma,128,128,128,19.8451195,0.211351915,0.229102188
wmma_block,128,128,128,10.9363194,0.383520622,0.415730388
wmma_64,128,128,128,13.0047998,0.322519689,0.349606326
wmma_async,128,128,128,5.52959967,0.758518564,0.822222324
mma_ptx,128,128,128,9.42080021,0.445217381,0.482608715
cublas,128,128,128,4.54656029,0.922522464,1
naive,512,512,512,1668.7616,0.16085908,0.0156475326
coalesced,512,512,512,363.223053,0.739037497,0.0718897141
shared32,512,512,512,444.384644,0.604061054,0.0587599095
shared16,512,512,512,419.335052,0.640145522,0.0622700184
register,512,512,512,147.425278,1.82082381,0.177120246
reg_f32sm,512,512,512,147.906555,1.81489898,0.176543909
reg_inter,512,512,512,139.847672,1.91948463,0.186717456
reg_vec,512,512,512,99.6115265,2.69482323,0.262138352
reg_vec4,512,512,512,96.7884827,2.77342354,0.26978418
wmma,512,512,512,137.410568,1.95352846,0.190029062
wmma_block,512,512,512,64.0716782,4.18961176,0.407543585
wmma_64,512,512,512,75.7635193,3.54307005,0.344651379
wmma_async,512,512,512,42.1040001,6.37553333,0.620178638
mma_ptx,512,512,512,40.4960022,6.62869028,0.644804425
cublas,512,512,512,26.1120014,10.2801563,1
naive,1024,1024,1024,12501.5967,0.17177675,0.00910588398
coalesced,1024,1024,1024,2816.14722,0.762560862,0.0404233445
shared32,1024,1024,1024,3299.60498,0.650830527,0.0345005204
shared16,1024,1024,1024,3187.82471,0.673651736,0.0357102725
register,1024,1024,1024,882.913269,2.43227022,0.128934622
reg_f32sm,1024,1024,1024,924.282898,2.32340515,0.123163686
reg_inter,1024,1024,1024,891.740173,2.40819435,0.127658361
reg_vec,1024,1024,1024,621.735352,3.45401567,0.18309734
reg_vec4,1024,1024,1024,623.247375,3.44563609,0.182653138
wmma,1024,1024,1024,1210.27576,1.7743755,0.0940596293
wmma_block,1024,1024,1024,485.212189,4.42586501,0.234615065
wmma_64,1024,1024,1024,573.992981,3.74130646,0.198326622
wmma_async,1024,1024,1024,254.405762,8.44117536,0.447466631
mma_ptx,1024,1024,1024,310.190063,6.92312199,0.366994635
cublas,1024,1024,1024,113.838089,18.8643684,1
naive,257,511,1025,683.939819,0.393631636,0.0441054032
coalesced,257,511,1025,388.476135,0.693016444,0.077650694
shared32,257,511,1025,537.262085,0.501096872,0.056146604
shared16,257,511,1025,450.694366,0.597345718,0.0669310374
register,257,511,1025,199.31073,1.35075693,0.151348809
reg_f32sm,257,511,1025,204.718063,1.31507863,0.147351147
reg_inter,257,511,1025,202.844162,1.3272275,0.148712397
reg_vec,257,511,1025,143.113281,1.88116957,0.210780168
reg_vec4,257,511,1025,142.870728,1.88436326,0.211138013
wmma,257,511,1025,178.339844,1.50959171,0.169145833
wmma_block,257,511,1025,89.6003189,3.00468071,0.336666676
wmma_64,257,511,1025,111.033279,2.4246816,0.271679281
wmma_async,257,511,1025,87.5827255,3.07389783,0.344422274
mma_ptx,257,511,1025,88.453125,3.04364996,0.341033078
cublas,257,511,1025,30.1654415,8.92479395,1
