kernel,M,N,K,latency_us,tflops,cublas_ratio
naive,128,128,128,32.8297577,0.127759213,0.135057954
coalesced,128,128,128,10.3116798,0.406752737,0.429990067
shared,128,128,128,12.8102388,0.327418095,0.346123126
cublas,128,128,128,4.43391991,0.945958449,1
naive,512,512,512,1582.29504,0.169649432,0.0118834979
coalesced,512,512,512,344.463348,0.779285974,0.0545869389
shared,512,512,512,404.633606,0.663403761,0.0464696938
cublas,512,512,512,18.8031998,14.2760519,1
naive,1024,1024,1024,11405.5986,0.188283291,0.00973399845
coalesced,1024,1024,1024,2669.37354,0.80448975,0.0415910617
shared,1024,1024,1024,3168.22534,0.677819099,0.0350423557
cublas,1024,1024,1024,111.022079,19.342852,1
naive,257,511,1025,637.859863,0.422068178,0.0481470026
coalesced,257,511,1025,361.769623,0.744176219,0.0848911533
shared,257,511,1025,510.689301,0.527170532,0.0601364479
cublas,257,511,1025,30.7110405,8.76623995,1
