kernel,M,N,K,latency_us,tflops,cublas_ratio
naive,128,128,128,32.8396797,0.127720612,0.132210795
coalesced,128,128,128,10.0556803,0.417107932,0.431771898
shared32,128,128,128,13.2812796,0.315805716,0.326908272
shared16,128,128,128,11.1084785,0.37757682,0.390851019
register,128,128,128,18.010561,0.232880253,0.241067458
cublas,128,128,128,4.34176016,0.966037701,1
naive,512,512,512,1592.65796,0.168545578,0.0117145554
coalesced,512,512,512,350.668793,0.765495709,0.0532048484
shared32,512,512,512,438.579224,0.612056936,0.0425402731
shared16,512,512,512,435.773438,0.615997748,0.0428141744
register,512,512,512,156.344315,1.71695054,0.11933456
cublas,512,512,512,18.65728,14.3877058,1
naive,1024,1024,1024,11469.3115,0.187237363,0.0113905622
coalesced,1024,1024,1024,2650.72754,0.810148767,0.0492853018
shared32,1024,1024,1024,3132.91772,0.685458042,0.0416997567
shared16,1024,1024,1024,3008.8396,0.713724869,0.0434193656
register,1024,1024,1024,861.900757,2.49156719,0.151574187
cublas,1024,1024,1024,130.641907,16.4379386,1
naive,257,511,1025,649.502747,0.41450225,0.0523841998
coalesced,257,511,1025,355.891174,0.756468183,0.0956013638
shared32,257,511,1025,516.812744,0.520924364,0.0658336739
shared16,257,511,1025,426.373138,0.631419585,0.0797979014
register,257,511,1025,205.85408,1.3078213,0.165280579
cublas,257,511,1025,34.0236816,7.91273422,1
