kernel,M,N,K,latency_us,tflops,cublas_ratio
naive,128,128,128,39.7107201,0.105621454,0.101083034
coalesced,128,128,128,10.2297602,0.410010003,0.392392391
shared32,128,128,128,17.1520004,0.244537307,0.234029848
shared16,128,128,128,11.2537594,0.372702477,0.356687922
cublas,128,128,128,4.01408005,1.04489795,1
naive,512,512,512,1621.71912,0.165525246,0.0116751165
coalesced,512,512,512,360.806396,0.74398752,0.0524762307
shared32,512,512,512,419.255676,0.640266718,0.0451604135
shared16,512,512,512,390.574066,0.687284383,0.0484767457
cublas,512,512,512,18.9337597,14.1776098,1
naive,1024,1024,1024,11978.9258,0.179271805,0.0101588543
coalesced,1024,1024,1024,2751.80884,0.780389836,0.0442226073
shared32,1024,1024,1024,3156.31616,0.680376597,0.0385551242
shared16,1024,1024,1024,3017.5437,0.71166613,0.0403282184
cublas,1024,1024,1024,121.692162,17.6468527,1
naive,257,511,1025,642.672668,0.418907421,0.0472392265
coalesced,257,511,1025,368.363525,0.73085507,0.0824168454
shared32,257,511,1025,514.926392,0.522832689,0.05895864
shared16,257,511,1025,430.264343,0.625709181,0.0705597854
cublas,257,511,1025,30.3593597,8.86778747,1
