kernel,M,N,K,latency_us,tflops,cublas_ratio
naive,128,128,128,32.8079987,0.127843946,0.131089979
coalesced,128,128,128,10.3836803,0.403932311,0.41418839
shared32,128,128,128,12.823041,0.327091211,0.33539625
shared16,128,128,128,11.2403202,0.373148089,0.382622538
register,128,128,128,21.5055981,0.195033125,0.199985131
reg_f32sm,128,128,128,21.7811203,0.192566036,0.197455401
reg_inter,128,128,128,16.96768,0.247193724,0.253470118
reg_vec,128,128,128,18.0531197,0.232331258,0.238230285
cublas,128,128,128,4.30079985,0.97523813,1
naive,512,512,512,1575.42407,0.170389332,0.011828485
coalesced,512,512,512,356.065277,0.753893944,0.0523355723
shared32,512,512,512,400.383972,0.670445059,0.0465425226
shared16,512,512,512,379.985931,0.706435249,0.0490409737
register,512,512,512,136.83551,1.96173826,0.136184533
reg_f32sm,512,512,512,139.737289,1.92100088,0.13335653
reg_inter,512,512,512,131.481598,2.04161997,0.141729948
reg_vec,512,512,512,96.3276749,2.78669091,0.193453025
cublas,512,512,512,18.6348801,14.4050005,1
naive,1024,1024,1024,11322.7979,0.18966016,0.010009569
coalesced,1024,1024,1024,2640.31226,0.813344574,0.0429253496
shared32,1024,1024,1024,3098.52197,0.693067103,0.0365775449
shared16,1024,1024,1024,2947.78882,0.728506613,0.0384479125
register,1024,1024,1024,841.994202,2.5504732,0.13460464
reg_f32sm,1024,1024,1024,861.495056,2.49274054,0.131557721
reg_inter,1024,1024,1024,839.741394,2.55731546,0.134965749
reg_vec,1024,1024,1024,588.226562,3.65077639,0.192674615
cublas,1024,1024,1024,113.336327,18.9478847,1
naive,257,511,1025,641.935364,0.419388563,0.0476165089
coalesced,257,511,1025,362.567657,0.742538239,0.0843062538
shared32,257,511,1025,501.739502,0.536573957,0.0609214958
shared16,257,511,1025,433.356476,0.621244553,0.0705348199
register,257,511,1025,191.938553,1.40263822,0.159252638
reg_f32sm,257,511,1025,196.444153,1.37046762,0.155600055
reg_inter,257,511,1025,195.379196,1.37793765,0.156448187
reg_vec,257,511,1025,140.923843,1.91039602,0.216902408
cublas,257,511,1025,30.566721,8.80762939,1
