kernel,M,N,K,latency_us,tflops,cublas_ratio
naive,128,128,128,32.7884789,0.127920054,0.137716669
coalesced,128,128,128,10.2297602,0.410010003,0.441410162
shared32,128,128,128,13.2889595,0.315623206,0.339794857
shared16,128,128,128,11.6121607,0.361199273,0.388861317
register,128,128,128,17.9302387,0.233923489,0.251838259
reg_f32sm,128,128,128,21.7497616,0.192843677,0.207612395
reg_inter,128,128,128,16.9036808,0.248129626,0.267132357
reg_vec,128,128,128,14.1721592,0.295953774,0.318619064
reg_vec4,128,128,128,14.2764797,0.293791192,0.316290863
cublas,128,128,128,4.5155201,0.928863987,1
naive,512,512,512,1511.71057,0.177570668,0.014639204
coalesced,512,512,512,326.656006,0.82176801,0.067747842
shared32,512,512,512,386.887665,0.693833069,0.0572006851
shared16,512,512,512,357.478394,0.750913792,0.0619065093
register,512,512,512,130.181122,2.06201523,0.169995766
reg_f32sm,512,512,512,136.345596,1.96878714,0.162309895
reg_inter,512,512,512,130.201599,2.06169093,0.16996903
reg_vec,512,512,512,91.3113556,2.93978174,0.242360212
reg_vec4,512,512,512,94.9555206,2.82695997,0.233059008
cublas,512,512,512,22.1302395,12.1298035,1
naive,1024,1024,1024,10856.7354,0.197801971,0.00990420814
coalesced,1024,1024,1024,2569.48218,0.835765146,0.0418478741
shared32,1024,1024,1024,2997.66772,0.716384818,0.0358703421
shared16,1024,1024,1024,2914.86719,0.736734647,0.0368892851
register,1024,1024,1024,793.896973,2.70499035,0.13544247
reg_f32sm,1024,1024,1024,850.288574,2.52559391,0.126459851
reg_inter,1024,1024,1024,821.319702,2.61467446,0.130920233
reg_vec,1024,1024,1024,558.827515,3.84283807,0.192416021
reg_vec4,1024,1024,1024,576.184326,3.72707752,0.186619736
cublas,1024,1024,1024,107.527367,19.9715079,1
naive,257,511,1025,667.125793,0.403552602,0.0454189596
coalesced,257,511,1025,382.781433,0.703326564,0.0791578609
shared32,257,511,1025,498.472961,0.540090177,0.0607859639
shared16,257,511,1025,397.301758,0.677621845,0.0762648512
register,257,511,1025,182.724167,1.47337024,0.165824587
reg_f32sm,257,511,1025,185.25473,1.45324413,0.163559437
reg_inter,257,511,1025,186.357773,1.44464245,0.162591337
reg_vec,257,511,1025,131.706879,2.04408724,0.230057532
reg_vec4,257,511,1025,131.839996,2.04202334,0.229825245
cublas,257,511,1025,30.3001595,8.88511331,1
