kernel,M,N,K,latency_us,tflops,cublas_ratio
naive,128,128,128,37.0380821,0.113243013,0.186618739
coalesced,128,128,128,10.3692808,0.404493241,0.666584337
shared32,128,128,128,14.6739197,0.285833921,0.471039799
shared16,128,128,128,11.2127991,0.374063958,0.616438423
register,128,128,128,18.0121613,0.232859563,0.383740745
reg_f32sm,128,128,128,21.7497616,0.192843677,0.317796595
reg_inter,128,128,128,16.9267197,0.247791898,0.408348476
reg_vec,128,128,128,15.0528002,0.278639452,0.45918368
cublas,128,128,128,6.91200018,0.606814799,1
naive,512,512,512,1562.44995,0.171804195,0.0120831776
coalesced,512,512,512,377.497589,0.711091842,0.0500118696
shared32,512,512,512,397.55777,0.675211193,0.0474883442
shared16,512,512,512,373.719025,0.718281485,0.0505175251
register,512,512,512,133.345917,2.01307593,0.14158184
reg_f32sm,512,512,512,140.851196,1.90580885,0.134037628
reg_inter,512,512,512,133.621765,2.00892015,0.141289558
reg_vec,512,512,512,109.219833,2.45775376,0.172856519
cublas,512,512,512,18.8793602,14.2184615,1
naive,1024,1024,1024,11282.3027,0.190340899,0.00959441014
coalesced,1024,1024,1024,2644.6438,0.812012434,0.0409306689
shared32,1024,1024,1024,3090.8313,0.694791608,0.0350219825
shared16,1024,1024,1024,2967.74658,0.723607488,0.0364744889
register,1024,1024,1024,838.799377,2.56018746,0.129049976
reg_f32sm,1024,1024,1024,862.68927,2.48928986,0.125476279
reg_inter,1024,1024,1024,840.796082,2.55410758,0.128743511
reg_vec,1024,1024,1024,671.733765,3.19692676,0.161145748
cublas,1024,1024,1024,108.24704,19.8387286,1
naive,257,511,1025,633.80481,0.42476855,0.0477906107
coalesced,257,511,1025,362.199066,0.743293882,0.0836278216
shared32,257,511,1025,512.207947,0.525607523,0.05913598
shared16,257,511,1025,410.112,0.656455676,0.0738576753
register,257,511,1025,191.406067,1.40654032,0.158249524
reg_f32sm,257,511,1025,196.362244,1.37103928,0.154255311
reg_inter,257,511,1025,195.920959,1.37412736,0.154602749
reg_vec,257,511,1025,158.134399,1.70247809,0.191545413
cublas,257,511,1025,30.2899189,8.88811723,1
