kernel,M,N,K,latency_us,tflops,cublas_ratio
naive,128,128,128,32.7679977,0.128000009,0.134707045
coalesced,128,128,128,10.228159,0.41007419,0.431561551
shared32,128,128,128,12.7584009,0.328748409,0.345974403
shared16,128,128,128,11.3151999,0.370678738,0.390101828
register,128,128,128,18.0255985,0.232685977,0.244878423
reg_f32sm,128,128,128,21.7401619,0.19292883,0.203038053
reg_inter,128,128,128,16.9574394,0.247343004,0.260303459
reg_vec,128,128,128,13.8547201,0.302734661,0.318597569
reg_vec4,128,128,128,13.6908798,0.306357521,0.322410261
wmma,128,128,128,13.4223995,0.312485409,0.328859243
cublas,128,128,128,4.41408014,0.950210206,1
naive,512,512,512,1484.17542,0.180865047,0.0134401372
coalesced,512,512,512,351.528992,0.763622524,0.0567450244
shared32,512,512,512,388.792297,0.69043409,0.0513063694
shared16,512,512,512,358.43808,0.748903287,0.0556512333
register,512,512,512,130.33345,2.05960523,0.153049897
reg_f32sm,512,512,512,136.683533,1.96391951,0.145939462
reg_inter,512,512,512,130.313919,2.05991392,0.153072836
reg_vec,512,512,512,91.4115219,2.93656041,0.218216706
reg_vec4,512,512,512,90.8364716,2.95515063,0.219598151
wmma,512,512,512,125.079353,2.14612123,0.159478928
cublas,512,512,512,19.9475212,13.4570834,1
naive,1024,1024,1024,11000.0029,0.195225734,0.00978012865
coalesced,1024,1024,1024,2635.37646,0.814867886,0.0408220401
shared32,1024,1024,1024,3104.87036,0.69165002,0.0346492546
shared16,1024,1024,1024,2962.51416,0.72488553,0.0363142378
register,1024,1024,1024,833.77417,2.57561787,0.129029475
reg_f32sm,1024,1024,1024,914.260132,2.34887596,0.117670497
reg_inter,1024,1024,1024,842.733154,2.54823681,0.12765778
reg_vec,1024,1024,1024,590.428162,3.63716331,0.182209201
reg_vec4,1024,1024,1024,582.133728,3.68898682,0.184805378
wmma,1024,1024,1024,1150.5459,1.86649107,0.0935046954
cublas,1024,1024,1024,107.581444,19.9614689,1
naive,257,511,1025,683.530518,0.393867345,0.0456757959
coalesced,257,511,1025,379.791382,0.708863768,0.0822051313
shared32,257,511,1025,530.032654,0.50793163,0.0589035415
shared16,257,511,1025,451.051514,0.596872734,0.0692178154
register,257,511,1025,196.198395,1.37218426,0.159128725
reg_f32sm,257,511,1025,203.100174,1.3255545,0.15372119
reg_inter,257,511,1025,207.114883,1.29985999,0.150741462
reg_vec,257,511,1025,141.905914,1.89717498,0.220010565
reg_vec4,257,511,1025,142.868469,1.88439305,0.218528277
wmma,257,511,1025,177.725449,1.51481036,0.175668711
cublas,257,511,1025,31.2208004,8.62310852,1
