kernel,M,N,K,latency_us,tflops,cublas_ratio
naive,128,128,128,37.089283,0.113086683,0.131143
coalesced,128,128,128,10.1990395,0.411245002,0.47690764
shared32,128,128,128,12.7488003,0.328995977,0.381526084
shared16,128,128,128,13.8137598,0.303632325,0.35211267
register,128,128,128,18.0332794,0.232586869,0.269723533
reg_f32sm,128,128,128,21.718399,0.193122154,0.223957569
reg_inter,128,128,128,21.7292805,0.193025443,0.223845417
reg_vec,128,128,128,13.9155197,0.301411955,0.349537778
reg_vec4,128,128,128,13.7932796,0.304083155,0.352635484
wmma,128,128,128,13.5475197,0.309599403,0.359032499
wmma_block,128,128,128,10.89536,0.384962406,0.446428557
wmma_64,128,128,128,13.0355196,0.321759633,0.373134328
cublas,128,128,128,4.86399984,0.862315817,1
naive,512,512,512,1678.77625,0.159899484,0.0138636225
coalesced,512,512,512,387.512299,0.692714675,0.060059823
shared32,512,512,512,434.851837,0.617303258,0.0535214942
shared16,512,512,512,413.972473,0.648437936,0.0562209363
register,512,512,512,140.289276,1.91344245,0.165899495
reg_f32sm,512,512,512,146.9888,1.82623068,0.158338051
reg_inter,512,512,512,140.462082,1.9110884,0.165695394
reg_vec,512,512,512,96.8377609,2.77201221,0.240339304
reg_vec4,512,512,512,101.14048,2.65408525,0.230114787
wmma,512,512,512,136.89856,1.96083477,0.170008509
wmma_block,512,512,512,63.9897614,4.19497511,0.363713187
wmma_64,512,512,512,75.5404816,3.55353117,0.308098646
cublas,512,512,512,23.2739201,11.5337449,1
naive,1024,1024,1024,12126.2998,0.177093069,0.00985462627
coalesced,1024,1024,1024,2817.73022,0.762132453,0.0424100759
shared32,1024,1024,1024,3296.92163,0.651360235,0.0362459791
shared16,1024,1024,1024,3184.44556,0.674366576,0.0375262037
register,1024,1024,1024,887.708801,2.41913074,0.134616388
reg_f32sm,1024,1024,1024,933.890259,2.29950321,0.127959524
reg_inter,1024,1024,1024,892.335632,2.40658735,0.133918392
reg_vec,1024,1024,1024,618.284485,3.47329377,0.193276971
reg_vec4,1024,1024,1024,624.588806,3.43823589,0.19132612
wmma,1024,1024,1024,1211.21802,1.77299513,0.0986611418
wmma_block,1024,1024,1024,487.679993,4.40346883,0.245038046
wmma_64,1024,1024,1024,574.023682,3.74110636,0.20817983
cublas,1024,1024,1024,119.500153,17.9705515,1
naive,257,511,1025,672.984924,0.400039199,0.0485079495
coalesced,257,511,1025,390.758392,0.688968824,0.0835429753
shared32,257,511,1025,527.001587,0.510853016,0.0619450103
shared16,257,511,1025,455.127045,0.591527911,0.071727486
register,257,511,1025,192.808945,1.39630633,0.1693133
reg_f32sm,257,511,1025,204.840317,1.31429376,0.159368621
reg_inter,257,511,1025,206.274567,1.30515533,0.158260513
reg_vec,257,511,1025,142.274567,1.89225915,0.229451542
reg_vec4,257,511,1025,143.001602,1.8826387,0.228284986
wmma,257,511,1025,182.268784,1.47705133,0.179104277
wmma_block,257,511,1025,91.4624023,2.9435084,0.356923915
wmma_64,257,511,1025,105.553925,2.55054799,0.309274324
cublas,257,511,1025,32.6451187,8.24687918,1
