kernel,M,N,K,latency_us,tflops,cublas_ratio
naive,128,128,128,32.7987175,0.127880122,0.144181248
coalesced,128,128,128,10.0457602,0.417519823,0.470741882
shared32,128,128,128,12.7590408,0.328731921,0.370636014
shared16,128,128,128,11.2742395,0.372025447,0.419448249
register,128,128,128,19.8886395,0.210889438,0.237771922
reg_f32sm,128,128,128,29.941761,0.140082075,0.157938607
reg_inter,128,128,128,16.8844795,0.248411803,0.280077336
reg_vec,128,128,128,14.1823997,0.295740077,0.333438637
reg_vec4,128,128,128,17.7775993,0.235931968,0.266006672
wmma,128,128,128,13.1504002,0.318948773,0.35960579
wmma_block,128,128,128,11.0489597,0.37961076,0.428000477
wmma_64,128,128,128,13.6089602,0.308201652,0.347488712
wmma_async,128,128,128,9.36832047,0.447711414,0.504782053
cublas,128,128,128,4.72896004,0.886940039,1
naive,512,512,512,1741.80359,0.154113505,0.0106892413
coalesced,512,512,512,368.509094,0.728436449,0.0505240147
shared32,512,512,512,436.828156,0.614510426,0.0426221585
shared16,512,512,512,421.07901,0.63749427,0.0442163073
register,512,512,512,145.600952,1.84363805,0.127873881
reg_f32sm,512,512,512,148.693436,1.8052946,0.125214397
reg_inter,512,512,512,140.257278,1.91387897,0.132745759
reg_vec,512,512,512,99.1513672,2.70732985,0.187779144
reg_vec4,512,512,512,97.0521698,2.76588825,0.191840728
wmma,512,512,512,135.936005,1.97471933,0.136965618
wmma_block,512,512,512,69.7446365,3.84883296,0.266953271
wmma_64,512,512,512,75.7657623,3.54296516,0.245738422
wmma_async,512,512,512,41.676796,6.44088515,0.44673681
cublas,512,512,512,18.6185589,14.417628,1
naive,1024,1024,1024,12373.0254,0.173561726,0.0101241136
coalesced,1024,1024,1024,2775.51318,0.773724896,0.0451325238
shared32,1024,1024,1024,3410.61816,0.629646458,0.0367282143
shared16,1024,1024,1024,3313.87915,0.648027146,0.0378003872
register,1024,1024,1024,917.667786,2.34015368,0.136504645
reg_f32sm,1024,1024,1024,935.577637,2.2953559,0.133891523
reg_inter,1024,1024,1024,936.47876,2.2931472,0.133762687
reg_vec,1024,1024,1024,630.231079,3.40745438,0.198761881
reg_vec4,1024,1024,1024,647.352295,3.3173338,0.193505014
wmma,1024,1024,1024,1251.19678,1.71634365,0.100116878
wmma_block,1024,1024,1024,494.469116,4.34300865,0.253334153
wmma_64,1024,1024,1024,592.230408,3.62609488,0.211515507
wmma_async,1024,1024,1024,264.581146,8.11654072,0.473449891
cublas,1024,1024,1024,125.265915,17.1433997,1
naive,257,511,1025,707.942444,0.380285647,0.0445505141
coalesced,257,511,1025,394.62915,0.682211007,0.0799211102
shared32,257,511,1025,531.13855,0.506874054,0.0593803629
shared16,257,511,1025,475.197449,0.566544182,0.0663707263
register,257,511,1025,203.445755,1.32330286,0.155025106
reg_f32sm,257,511,1025,211.394547,1.27354444,0.149195901
reg_inter,257,511,1025,209.264648,1.28650659,0.150714419
reg_vec,257,511,1025,151.870728,1.77269415,0.207671355
reg_vec4,257,511,1025,148.017288,1.81884396,0.213077811
wmma,257,511,1025,181.872635,1.4802686,0.173413663
wmma_block,257,511,1025,92.0063934,2.92610481,0.342793567
wmma_64,257,511,1025,113.295364,2.37626977,0.27838032
wmma_async,257,511,1025,94.3308792,2.85400022,0.334346506
cublas,257,511,1025,31.5391998,8.53605518,1
